,XLV,XLI,XLU,XLK,AFTY,FAUS
8/16/16,70.532333,54.987144,44.470631,44.791199,12.525514,27.059347
8/17/16,70.674858,55.146435,45.135048,44.772133,12.450871,27.059347
8/18/16,70.703354,55.315063,45.691708,44.791199,12.388971,27.339273
8/19/16,70.646355,55.296333,45.135048,44.819798,12.434486,27.364717
8/22/16,70.788872,55.249493,45.25177,44.819798,12.397165,27.364717
8/23/16,70.85537,55.296333,45.054245,44.981842,12.425383,27.364717
8/24/16,69.743797,55.127686,45.036282,44.734001,12.34983,27.364717
8/25/16,69.154755,55.118328,45.063217,44.82933,12.34983,27.576782
8/26/16,69.420769,54.959038,44.129452,44.848389,12.3207,27.678576
8/29/16,69.572777,55.352551,44.488594,45.019978,12.28884,26.906664
8/30/16,69.335289,55.202637,44.021709,44.867455,12.28884,26.906664
8/31/16,69.126266,54.893463,44.201279,44.791199,12.28884,26.830318
9/1/16,68.94574,54.940304,43.976818,44.934174,12.307047,26.830318
9/2/16,69.021744,55.212013,44.560425,45.134346,12.4445,26.830318
9/6/16,69.268761,55.052734,45.045258,45.363121,12.480911,26.830318
9/7/16,69.268761,55.118328,45.054245,45.477509,12.48,26.915142
9/8/16,69.325768,55.071472,45.206871,45.10577,12.507309,26.491016
9/9/16,67.938683,53.516212,43.509933,44.000034,12.343458,26.491016
9/12/16,68.94574,54.200153,44.282089,44.734001,12.28884,26.491016
9/13/16,68.024185,53.403774,43.671543,44.409912,12.195081,26.491016
9/14/16,68.024185,53.356934,43.842144,44.619621,12.152298,25.515518
9/15/16,68.727219,53.778542,44.174347,45.353592,12.246967,25.668211
9/16/16,68.773964,53.328251,44.60537,45.187038,12.35256,25.905722
9/19/16,68.525993,53.563763,45.049065,45.100906,12.243326,25.905722
9/20/16,68.735817,53.610859,44.967575,45.072189,12.234222,25.905722
9/21/16,69.422501,54.307968,45.882137,45.579475,12.234222,25.599834
9/22/16,69.94706,54.694199,46.162838,45.857052,12.316149,26.358089
9/23/16,69.727699,54.373901,46.126617,45.455051,12.277917,26.358089
9/26/16,68.917038,54.138401,46.008907,45.187038,12.106784,26.358089
9/27/16,69.403427,54.515205,45.41127,45.684765,12.197811,26.358089
9/28/16,69.298515,54.939121,45.347885,45.770908,12.206915,26.358089
9/29/16,68.077744,54.505791,44.668751,45.49334,12.229672,26.719986
9/30/16,68.773964,54.995651,44.360882,45.73262,12.307047,26.719986
10/3/16,68.716743,55.042747,43.73608,45.598625,12.279737,26.719986
10/4/16,68.583221,54.581154,42.821518,45.435909,12.216019,26.719986
10/5/16,68.850266,54.929691,42.730961,45.598625,12.234222,26.71137
10/6/16,68.592758,54.929691,42.721916,45.703911,12.279737,26.513189
10/7/16,68.545067,54.223183,42.66758,45.579475,12.279737,26.513189
10/10/16,68.859802,54.279701,43.020729,45.895348,12.297943,26.513189
10/11/16,67.13353,53.714478,42.53175,45.378475,12.261533,25.85833
10/12/16,66.818802,53.818111,42.948292,45.455051,12.252429,25.85833
10/13/16,66.84742,53.799267,43.48254,45.167904,12.197811,25.85833
10/14/16,66.399178,53.912308,43.238052,45.340191,12.28884,25.85833
10/17/16,66.179794,53.771008,43.473476,45.244476,12.132271,25.85833
10/18/16,66.971405,53.884045,43.844738,45.49334,12.343458,25.85833
10/19/16,66.723427,54.053612,43.745136,45.579475,12.322521,25.85833
10/20/16,67.038162,53.761585,43.717968,45.368908,12.302496,25.85833
10/21/16,66.485001,53.686222,43.464424,45.49334,12.28884,25.85833
10/24/16,66.361015,53.789841,43.627419,45.933624,12.361663,25.85833
10/25/16,66.170258,53.64854,43.899067,45.770908,12.416281,25.85833
10/26/16,65.769684,53.836948,44.007732,45.512474,12.370767,25.754929
10/27/16,66.074875,53.469551,43.745136,45.455051,12.329803,25.54813
10/28/16,64.644287,53.789841,43.880962,45.407192,12.301584,25.54813
